iter	Passed	Remaining
0	1	136
1	2	126
2	3	118
3	4	109
4	5	108
5	6	106
6	7	105
7	8	103
8	10	102
9	11	100
10	12	101
11	13	101
12	14	100
13	16	98
14	17	97
15	18	96
16	19	96
17	20	95
18	22	94
19	23	94
20	24	93
21	26	92
22	27	92
23	28	91
24	29	89
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	36	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	43	74
37	44	73
38	46	72
39	47	70
40	48	69
41	48	67
42	49	65
43	50	64
44	51	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	89	23
79	90	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
